Number,Occupations
440,Registered Nurse (Paediatrics)
441,User Experience Designer (ICT)
442,Multimedia Specialist
443,Web Developer
444,Analyst Programmer
445,Developer Programmer
446,Software Engineer
447,Software Tester
448,Cyber Security Engineer
449,DevOps Engineer
450,Penetration Tester
451,Database Administrator
452,Systems Administrator
453,Cyber Governance Risk and Compliance Specialist
454,Cyber Security Advice and Assessment Specialist
455,Cyber Security Analyst
456,Cyber Security Architect
457,Cyber Security Operations Coordinator
458,Computer Network and Systems Engineer
459,Network Administrator
460,Network Analyst
461,ICT Quality Assurance Engineer
462,ICT Support Engineer
463,ICT Systems Test Engineer
464,Barrister
465,Solicitor
466,Careers Counsellor
467,Drug and Alcohol Counsellor
468,Family and Marriage Counsellor
469,Rehabilitation Counsellor
470,Student Counsellor
471,Minister of Religion
472,Clinical Psychologist
473,Educational Psychologist
474,Organisational Psychologist
475,Historian
476,Interpreter
477,Translator
478,Social Worker
479,Recreation Officer / Recreation Coordinator
480,Welfare Worker
481,Anaesthetic Technician
482,Cardiac Technician
483,Medical Laboratory Technician
484,Operating Theatre Technician
485,Pharmacy Technician
486,Pathology Collector / Phlebotomist
487,Respiratory Technician
488,Chemistry Technician
489,Earth Science Technician
490,Life Science Technician
491,Architectural Draftsperson
492,Building Associate
493,Building Inspector
494,Construction Estimator
495,Surveying or Spatial Science Technician
496,Civil Engineering Draftsperson
497,Civil Engineering Technician
498,Electrical Engineering Draftsperson
499,Electrical Engineering Technician
500,Mechanical Engineering Draftsperson
501,Mechanical Engineering Technician
502,Hardware Technician
503,ICT Customer Support Officer
504,Web Administrator
505,Automotive Electrician
506,Motor Mechanic (General)
507,Diesel Motor Mechanic
508,Motorcycle Mechanic
509,Small Engine Mechanic
510,Sheetmetal Trades Worker
511,Metal Fabricator
512,Welder (First Class)
513,Aircraft Maintenance Engineer (Avionics)
514,Aircraft Maintenance Engineer (Mechanical)
515,Fitter (General)
516,Metal Machinist (First Class)
517,Engraver
518,Gunsmith
519,Locksmith
520,Precision Instrument Maker and Repairer
521,Saw Doctor
522,Watch and Clock Maker and Repairer
523,Engineering Patternmaker
524,Toolmaker
525,Panelbeater
526,Vehicle Painter
527,Bricklayer
528,Stonemason
529,Carpenter
530,Joiner
531,Floor Finisher
532,Painting Trades Worker
533,Glazier
534,Fibrous Plasterer
535,Solid Plasterer
536,Roof Tiler
537,Wall and Floor Tiler
538,Plumber (General)
539,Drainer / Drainlayer
540,Gasfitter
541,Roof Plumber
542,Electrician (General)
543,Electrician (Special Class)
544,Lift Mechanic
545,Airconditioning and Refrigeration Mechanic
546,Business Machine Mechanic
547,Communications Operator
548,Electronic Equipment Trades Worker
549,Electronic Instrument Trades Worker (General)
550,Cabler (Data And Telecommunications)
551,Telecommunications Cable Jointer
552,Telecommunications Linesworker / Telecommunications Line Mechanic
553,Telecommunications Technician
554,Baker
555,Pastrycook
556,Butcher or Smallgoods Maker
557,Chef
558,Cook
559,Pet Groomer
560,Veterinary Nurse
561,Florist
562,Nurseryperson
563,Arborist
564,Gardener (General)
565,Landscape Gardener
566,Irrigation Technician
567,Shearer
568,Wool Classer
569,Hairdresser
570,Print Finisher
571,Screen Printer
572,Graphic Pre-press Trades Worker
573,Clothing Patternmaker
574,Dressmaker or Tailor
575,Upholsterer
576,Cabinetmaker
577,Furniture Finisher
578,Wood Machinist
579,Gas or Petroleum Operator
580,Power Generation Plant Operator
581,Gallery or Museum Technician
582,Library Technician
583,Jeweller
584,Broadcast Transmitter Operator
585,"Camera Operator (Film, Television or Video)"
586,Make Up Artist
587,Musical Instrument Maker or Repairer
588,Sound Technician
589,Signwriter
590,Diver
591,Interior Decorator
592,Optical Dispenser / Dispensing Optician
593,Optical Mechanic
594,Photographer's Assistant
595,Plastics Technician
596,Fire Protection Equipment Technician
597,Ambulance Officer
598,Intensive Care Ambulance Paramedic
599,Dental Hygienist
600,Dental Technician
601,Dental Therapist
602,Diversional Therapist
603,Enrolled Nurse
604,Mothercraft Nurse
605,Aboriginal and Torres Strait Islander Health Worker
606,Massage Therapist
607,Community Worker
608,Disabilities Services Officer
609,Family Support Worker
610,Parole or Probation Officer
611,Residential Care Officer
612,Youth Worker
613,Child Care Worker
614,Nanny
615,Integration Aide
616,Aged or Disabled Carer
617,Dental Assistant
618,Hospital Orderly
619,Nursing Support Worker
620,Personal Care Assistant
621,Therapy Aide
622,Bar Attendant
623,Barista
624,Cafe Worker
625,Gaming Worker
626,Hotel Service Manager
627,Waiter
628,Doorperson or Luggage Porter
629,Emergency Service Worker
630,Fire Fighter
631,Detective
632,Police Officer
633,Prison Officer
634,Private Investigator
635,Retail Loss Prevention Officer
636,Security Consultant
637,Security Officer
638,Beauty Therapist
639,Driving Instructor
640,Travel Consultant
641,Flight Attendant
642,Fitness Instructor
643,Bungy Jump Master
644,Fishing Guide
645,Hunting Guide
646,Mountain or Glacier Guide
647,Outdoor Adventure Instructor
648,Trekking Guide
649,Whitewater Rafting Guide
650,Sports Umpire
651,Lifeguard
652,Contract Administrator
653,Program or Project Administrator
654,Office Manager
655,Health Practice Manager
656,Personal Assistant
657,Secretary (General)
658,Legal Secretary
659,General Clerk
660,Data Entry Operator
661,Word Processing Operator
662,Call or Contact Centre Team Leader
663,Call or Contact Centre Operator
664,Information Officer
665,Receptionist (General)
666,Admissions Clerk
667,Hotel or Motel Receptionist
668,Medical Receptionist
669,Accounts Clerk
670,Cost Clerk
671,Bookkeeper
672,Payroll Clerk
673,Bank Worker
674,Credit or Loans Officer
675,Insurance Consultant
676,Statistical Clerk
677,Courier
678,Postal Delivery Officer
679,Filing or Registry Clerk
680,Mail Clerk
681,Survey Interviewer
682,Switchboard Operator
683,Meter Reader
684,Parking Inspector
685,Production Clerk
686,Purchasing Officer
687,Stock Clerk
688,Warehouse Administrator
689,Order Clerk
690,Debt Collector
691,Human Resource Clerk
692,Customs Officer
693,Immigration Officer
694,Taxation Inspector
695,Transport Operations Inspector
696,Library Assistant
697,Proof Reader
698,Radio Despatcher
699,Clinical Coder
700,Facilities Administrator
701,Insurance Agent
702,Property Manager
703,Real Estate Agent
704,Real Estate Representative
705,Sales Assistant (General)
706,Motor Vehicle or Caravan Salesperson
707,Motor Vehicle Parts Interpreter / Automotive Parts Salesperson
708,Pharmacy Sales Assistant
709,Retail Supervisor
710,Service Station Attendant
711,Materials Recycler
712,Model
713,Sales Demonstrator
714,Retail Buyer
715,Telemarketer
716,Visual Merchandiser
717,Clay Products Machine Operator
718,Concrete Products Machine Operator
719,Glass Production Machine Operator
720,Stone Processing Machine Operator
721,Industrial Spraypainter
722,Photographic Developer and Printer
723,Plastic Cablemaking Machine Operator
724,Plastic Compounding and Reclamation Machine Operator
725,Plastics Fabricator or Welder
726,Plastics Production Machine Operator (General)
727,Reinforced Plastic and Composite Production Worker
728,Rubber Production Machine Operator
729,Sewing Machinist
730,Footwear Production Machine Operator
731,Hide and Skin Processing Machine Operator
732,Knitting Machine Operator
733,Textile Dyeing and Finishing Machine Operator
734,Weaving Machine Operator
735,Yarn Carding and Spinning Machine Operator
736,Motion Picture Projectionist
737,Sterilisation Technician
738,"Crane, Hoist or Lift Operator"
739,Driller
740,Miner
741,Shot Firer
742,Engineering Production Worker
743,Boiler or Engine Operator
744,Bulk Materials Handling Plant Operator
745,Concrete Pump Operator
746,Railway Signal Operator
747,Waste Water or Water Plant Operator
748,Weighbridge Operator
749,Agricultural and Horticultural Mobile Plant Operator
750,Earthmoving Plant Operator (General)
751,Backhoe Operator
752,Bulldozer Operator
753,Excavator Operator
754,Grader Operator
755,Loader Operator
756,Forklift Driver
757,Aircraft Baggage Handler and Airline Ground Crew
758,Linemarker
759,Paving Plant Operator
760,Railway Track Plant Operator
761,Road Roller Operator
762,Streetsweeper Operator
763,Train Driver
764,Delivery Driver
765,Truck Driver (General)
766,Aircraft Refueller
767,Furniture Removalist
768,Tanker Driver
769,Tow Truck Driver
770,Storeperson
771,Car Detailer
772,Commercial Cleaner
773,Domestic Cleaner
774,Commercial Housekeeper
775,Domestic Housekeeper
776,Laundry Worker (General)
777,Drycleaner
778,Ironer or Presser
779,Carpet Cleaner
780,Window Cleaner
781,Builder's Labourer
782,"Drainage, Sewerage and Stormwater Labourer"
783,Earthmoving Labourer
784,Plumber's Assistant
785,Concreter
786,Fencer
787,Building Insulation Installer
788,Home Improvement Installer
789,Paving and Surfacing Labourer
790,Railway Track Worker
791,Construction Rigger
792,Scaffolder
793,Steel Fixer
794,Structural Steel Erector
795,Crane Chaser
796,Driller's Assistant
797,Lagger
798,Mining Support Worker
799,Baking Factory Worker
800,Brewery Worker
801,Confectionery Maker
802,Dairy Products Maker
803,Fruit and Vegetable Factory Worker
804,Grain Mill Worker
805,Sugar Mill Worker
806,Winery Cellar Hand
807,Meat Boner and Slicer
808,Slaughterer
809,Meat Process Worker
810,Poultry Process Worker
811,Seafood Process Worker
812,Product Assembler
813,Plastics Factory Worker
814,Rubber Factory Worker
815,Product Examiner
816,Product Grader
817,Product Tester
818,Paper and Pulp Mill Worker
819,Sawmill or Timber Yard Worker
820,Wood and Wood Products Factory Worker
821,Cement and Concrete Plant Worker
822,Chemical Plant Worker
823,Clay Processing Factory Worker
824,Fabric and Textile Factory Worker
825,Footwear Factory Worker
826,Glass Processing Worker
827,Hide and Skin Processing Worker
828,Recycling Worker
829,Forestry Worker
830,Logging Assistant
831,Tree Faller
832,Garden Labourer
833,Horticultural Nursery Assistant
834,Pest Control Technician
835,Hunter-Trapper
836,Fast Food Cook
837,Pastrycook's Assistant
838,Kitchenhand
839,Shelf Filler
840,Caretaker
841,Deck Hand
842,Fishing Hand
843,Handyperson
844,Autoglazier
845,Tyre Fitter
846,Printer's Assistant
847,Printing Table Worker
848,Recycling or Rubbish Collector
849,Vending Machine Attendant
850,Bicycle Mechanic
851,Car Park Attendant
852,Crossing Supervisor
853,Electrical or Telecommunications Trades Assistant
854,Leaflet or Newspaper Deliverer
855,Sign Erector
856,Ticket Collector or Usher
857,Road Traffic Controller
