Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
76,Research and Development Managers,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
77,Research and Development Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
78,Research and Development Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
79,Research and Development Managers,Writing,7,Intermediate,Write a detailed literature review
80,Research and Development Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
81,Construction Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
82,Construction Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
83,Construction Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
84,Construction Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
85,Construction Managers,Writing,7,Intermediate,Write a detailed literature review
86,Construction Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
87,Construction Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
88,Construction Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
89,Construction Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
90,Construction Managers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
91,Engineering Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
92,Engineering Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
93,Engineering Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
94,Engineering Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
95,Engineering Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
96,Engineering Managers,Writing,7,Intermediate,Write a detailed literature review
97,Engineering Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
98,Engineering Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
99,Engineering Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
100,Engineering Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
101,"Importers, Exporters and Wholesalers",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
102,"Importers, Exporters and Wholesalers",Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
103,"Importers, Exporters and Wholesalers",Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
104,"Importers, Exporters and Wholesalers",Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
105,"Importers, Exporters and Wholesalers",Writing,6,Intermediate,Write a memo to staff outlining new directives
106,"Importers, Exporters and Wholesalers",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
107,"Importers, Exporters and Wholesalers",Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
108,"Importers, Exporters and Wholesalers",Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
109,"Importers, Exporters and Wholesalers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
110,"Importers, Exporters and Wholesalers",Initiative and innovation,7,Intermediate,Coordinate sales campaigns
111,"Supply, Distribution and Procurement Managers",Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
112,"Supply, Distribution and Procurement Managers",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
113,"Supply, Distribution and Procurement Managers",Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
114,"Supply, Distribution and Procurement Managers",Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
115,"Supply, Distribution and Procurement Managers",Teamwork,6,Intermediate,Initiate team problem solving sessions
116,"Supply, Distribution and Procurement Managers",Writing,7,Intermediate,Write a detailed literature review
117,"Supply, Distribution and Procurement Managers",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
118,"Supply, Distribution and Procurement Managers",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
119,"Supply, Distribution and Procurement Managers",Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
120,"Supply, Distribution and Procurement Managers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
121,Child Care Centre Managers,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
122,Child Care Centre Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
123,Child Care Centre Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
124,Child Care Centre Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
125,Child Care Centre Managers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
126,Child Care Centre Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives
127,Child Care Centre Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
128,Child Care Centre Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
129,Child Care Centre Managers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
130,Child Care Centre Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
131,Health and Welfare Services Managers,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities."
132,Health and Welfare Services Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
133,Health and Welfare Services Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
134,Health and Welfare Services Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
135,Health and Welfare Services Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
136,Health and Welfare Services Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
137,Health and Welfare Services Managers,Writing,7,Intermediate,Write a detailed literature review
138,Health and Welfare Services Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
139,Health and Welfare Services Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
140,Health and Welfare Services Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
141,School Principals,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
142,School Principals,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks"
143,School Principals,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
144,School Principals,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
145,School Principals,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
146,School Principals,Writing,7,Intermediate,Write a detailed literature review
147,School Principals,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
148,School Principals,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
149,School Principals,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
150,School Principals,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
151,Other Education Managers,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks"
152,Other Education Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
153,Other Education Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
154,Other Education Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
155,Other Education Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
156,Other Education Managers,Writing,7,Intermediate,Write a detailed literature review
157,Other Education Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
158,Other Education Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
159,Other Education Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
160,Other Education Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
161,ICT Managers,Digital engagement,8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan"
162,ICT Managers,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks"
163,ICT Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
164,ICT Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
165,ICT Managers,Writing,7,Intermediate,Write a detailed literature review
166,ICT Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
167,ICT Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
168,ICT Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
169,ICT Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
170,ICT Managers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
171,Cafe and Restaurant Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
172,Cafe and Restaurant Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
173,Cafe and Restaurant Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
174,Cafe and Restaurant Managers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
175,Cafe and Restaurant Managers,Writing,5,Intermediate,Prepare a standard operating procedures document
176,Cafe and Restaurant Managers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
177,Cafe and Restaurant Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
178,Cafe and Restaurant Managers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
179,Cafe and Restaurant Managers,Oral communication,6,Intermediate,Give instructions to a lost driver
180,Cafe and Restaurant Managers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
181,Hotel and Motel Managers,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
182,Hotel and Motel Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
183,Hotel and Motel Managers,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
184,Hotel and Motel Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
185,Hotel and Motel Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
186,Hotel and Motel Managers,Writing,7,Intermediate,Write a detailed literature review
187,Hotel and Motel Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
188,Hotel and Motel Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
189,Hotel and Motel Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
190,Hotel and Motel Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
191,Licensed Club Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
192,Licensed Club Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
193,Licensed Club Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
194,Licensed Club Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
195,Licensed Club Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
196,Licensed Club Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives
197,Licensed Club Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
198,Licensed Club Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
199,Licensed Club Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
200,Licensed Club Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
201,Retail Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
202,Retail Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
203,Retail Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
204,Retail Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
205,Retail Managers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
206,Retail Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives
207,Retail Managers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
208,Retail Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
209,Retail Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
210,Retail Managers,Oral communication,6,Intermediate,Give instructions to a lost driver
211,"Amusement, Fitness and Sports Centre Managers",Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
212,"Amusement, Fitness and Sports Centre Managers",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
213,"Amusement, Fitness and Sports Centre Managers",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
214,"Amusement, Fitness and Sports Centre Managers",Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
215,"Amusement, Fitness and Sports Centre Managers",Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
216,"Amusement, Fitness and Sports Centre Managers",Writing,6,Intermediate,Write a memo to staff outlining new directives
217,"Amusement, Fitness and Sports Centre Managers",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
218,"Amusement, Fitness and Sports Centre Managers",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
219,"Amusement, Fitness and Sports Centre Managers",Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
220,"Amusement, Fitness and Sports Centre Managers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
221,Conference and Event Organisers,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
222,Conference and Event Organisers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
223,Conference and Event Organisers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
224,Conference and Event Organisers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
225,Conference and Event Organisers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
226,Conference and Event Organisers,Writing,6,Intermediate,Write a memo to staff outlining new directives
227,Conference and Event Organisers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
228,Conference and Event Organisers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
229,Conference and Event Organisers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
230,Conference and Event Organisers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
231,Photographers,Numeracy,3,Basic,Count the amount of change to be given to a customer
232,Photographers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
233,Photographers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
234,Photographers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
235,Photographers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
236,Photographers,Writing,5,Intermediate,Prepare a standard operating procedures document
237,Photographers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
238,Photographers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
239,Photographers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
240,Photographers,Oral communication,6,Intermediate,Give instructions to a lost driver
241,Visual Arts and Crafts Professionals,Numeracy,3,Basic,Count the amount of change to be given to a customer
242,Visual Arts and Crafts Professionals,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
243,Visual Arts and Crafts Professionals,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
244,Visual Arts and Crafts Professionals,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
245,Visual Arts and Crafts Professionals,Writing,5,Intermediate,Prepare a standard operating procedures document
246,Visual Arts and Crafts Professionals,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
247,Visual Arts and Crafts Professionals,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
248,Visual Arts and Crafts Professionals,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
249,Visual Arts and Crafts Professionals,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
250,Visual Arts and Crafts Professionals,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
251,"Film, Television, Radio and Stage Directors",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
252,"Film, Television, Radio and Stage Directors",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
253,"Film, Television, Radio and Stage Directors",Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
254,"Film, Television, Radio and Stage Directors",Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
255,"Film, Television, Radio and Stage Directors",Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
256,"Film, Television, Radio and Stage Directors",Writing,6,Intermediate,Write a memo to staff outlining new directives
257,"Film, Television, Radio and Stage Directors",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
258,"Film, Television, Radio and Stage Directors",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
259,"Film, Television, Radio and Stage Directors",Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
260,"Film, Television, Radio and Stage Directors",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
261,Journalists and Other Writers,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
262,Journalists and Other Writers,Writing,8,High,Write a legally binding contract for services provided by one business to another
263,Journalists and Other Writers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
264,Journalists and Other Writers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
265,Journalists and Other Writers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
266,Journalists and Other Writers,Teamwork,6,Intermediate,Initiate team problem solving sessions
267,Journalists and Other Writers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
268,Journalists and Other Writers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
269,Journalists and Other Writers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
270,Journalists and Other Writers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
